"","word","freq"
"final","final",2882
"real","real",1933
"league","league",1697
"madrid","madrid",1210
"campeo","campeo",940
"time","time",878
"melhor","melhor",758
"gol","gol",738
"ganhou","ganhou",703
"jogo","jogo",616
"ontem","ontem",586
"liverpool","liverpool",571
"ganhar","ganhar",568
"vini","vini",514
"cara","cara",488
"mundo","mundo",478
"futebol","futebol",450
"flamengo","flamengo",405
"anos","anos",394
"maior","maior",386
"copa","copa",385
"temporada","temporada",384
"ainda","ainda",380
"liga","liga",379
"city","city",323
"premier","premier",308
"courtois","courtois",300
"todos","todos",295
"hugo","hugo",280
"ano","ano",276
"contra","contra",273
"agora","agora",271
"nada","nada",270
"assim","assim",264
"hoje","hoje",262
"europa","europa",257
"dia","dia",252
"nunca","nunca",249
"bem","bem",247
"clube","clube",244
"semana","semana",240
"tudo","tudo",239
"gols","gols",236
"jogos","jogos",235
"ganha","ganha",234
"sempre","sempre",234
"jogador","jogador",227
"sobre","sobre",227
"ttulos","ttulos",226
"histria","histria",223
"jogar","jogar",218
"psg","psg",218
"sendo","sendo",214
"show","show",214
"jogou","jogou",212
"bola","bola",205
"fazer","fazer",204
"messi","messi",204
"tava","tava",197
"acho","acho",190
"bom","bom",186
"brasileiro","brasileiro",185
"gente","gente",184
"menos","menos",181
"camila","camila",180
"falar","falar",180
"nottingham","nottingham",179
"barcelona","barcelona",176
"pode","pode",176
"neymar","neymar",174
"todo","todo",173
"uefa","uefa",173
"viu","viu",173
"volta","volta",173
"taa","taa",172
"jogadores","jogadores",171
"aqui","aqui",169
"outro","outro",169
"duas","duas",168
"brasil","brasil",166
"jogando","jogando",164
"grande","grande",163
"coisa","coisa",161
"libertadores","libertadores",161
"nessa","nessa",161
"times","times",159
"campees","campees",155
"benzema","benzema",154
"tambm","tambm",154
"torcida","torcida",154
"goleiro","goleiro",153
"assistiu","assistiu",152
"melhores","melhores",149
"perder","perder",148
"assistir","assistir",147
"perdeu","perdeu",146
"ganhando","ganhando",145
"joga","joga",143
"chelsea","chelsea",140
"marcelo","marcelo",140
"porque","porque",140
"demais","demais",138
"campeonato","campeonato",137
"porra","porra",136
"campo","campo",135
"vinicius","vinicius",133
"falando","falando",132
"mano","mano",132
"vez","vez",130
"ronaldo","ronaldo",129
"vincius","vincius",128
"dois","dois",125
"deu","deu",124
"futebolinfo","futebolinfo",124
"ganharam","ganharam",124
"vocs","vocs",123
"mundial","mundial",122
"primeira","primeira",122
"antes","antes",119
"decidiu","decidiu",119
"prxima","prxima",118
"tempo","tempo",117
"tbm","tbm",116
"fim","fim",115
"ouro","ouro",115
"apenas","apenas",113
"caras","caras",112
"casemiro","casemiro",112
"esto","esto",112
"vice","vice",112
"vou","vou",112
"ningum","ningum",111
"vem","vem",111
"tntsportsbr","tntsportsbr",110
"vezes","vezes",110
